año,mes,fecha,barrio,distrito,latitud,longitud,precio_habitacion_eur,precio_vs_beca_mec_eur,anuncios_activos,matches_realizados,usuarios_activos_mes,pct_erasmus,eco_score,co2_ahorrado_kg_mes,pct_transporte_publico,distancia_universidad_km,tiempo_desplazamiento_min,indice_accesibilidad_beca,demanda_estimada_estudiantes,ratio_oferta_demanda,fraudes_detectados,contratos_digitales_firmados,satisfaccion_media,ods11_precio_accesible,alerta_precio_accesibilidad,universidad_referencia,perfil_dominante
2023,2,2023-02-01,Torrefiel,La Saïdia,39.487,-0.362,314,-36,31,14,95,0.39,A,277,0.39,4.9,38,89.7,367,0.08,1,9,4.4,SI,BAJO,UV,JOVEN_PROFESIONAL
2023,2,2023-02-01,Ciutat Universitaria,Algirós,39.482,-0.345,364,14,27,15,93,0.44,A,198,0.6,1.7,13,104,257,0.11,1,11,4.8,SI,MEDIO,UPV,JOVEN_PROFESIONAL
2023,2,2023-02-01,Arrancapins,Patraix,39.458,-0.375,331,-19,23,8,47,0.31,B,216,0.81,2.3,16,94.6,142,0.16,0,5,3.5,SI,MEDIO,UV,ERASMUS
2023,3,2023-03-01,Ruzafa,Quatre Carreres,39.4635,-0.3765,443,93,33,16,94,0.22,C,191,0.44,1.1,14,126.6,314,0.11,2,11,4.2,NO,CRITICO,UV,ESTUDIANTE
2023,3,2023-03-01,Benimaclet,Benimaclet,39.4815,-0.357,395,45,51,21,123,0.38,A,362,0.63,4.2,31,112.9,375,0.14,4,13,3.8,SI,ALTO,UPV,JOVEN_PROFESIONAL
2023,3,2023-03-01,El Carmen,Ciutat Vella,39.4735,-0.3775,426,76,34,11,63,0.27,D,325,0.38,3.4,28,121.7,196,0.17,2,6,3.3,NO,CRITICO,UV,ERASMUS
2023,3,2023-03-01,Campanar,Campanar,39.451,-0.339,363,13,30,17,94,0.23,B,189,0.78,1.3,15,103.7,315,0.1,1,13,4.5,SI,MEDIO,UPV,ERASMUS
2023,3,2023-03-01,Patraix,Patraix,39.4605,-0.3605,315,-35,20,9,55,0.44,D,133,0.39,3.1,30,90,147,0.14,0,6,4.1,SI,BAJO,UPV,JOVEN_PROFESIONAL
2023,3,2023-03-01,Algirós,Algirós,39.478,-0.3395,356,6,21,12,36,0.32,B,167,0.76,2.6,18,101.7,125,0.17,0,9,3.2,SI,MEDIO,UPV,ERASMUS
2023,3,2023-03-01,Extramurs,Extramurs,39.469,-0.382,428,78,39,14,69,0.29,A,394,0.67,1.6,17,122.3,272,0.14,2,8,3.2,NO,CRITICO,UV,ERASMUS
2023,3,2023-03-01,El Pla del Remei,Eixample,39.467,-0.373,460,110,38,14,92,0.37,A,147,0.82,4.7,36,131.4,264,0.14,2,8,3.8,NO,CRITICO,UV,JOVEN_PROFESIONAL
2023,3,2023-03-01,Mestalla,Quatre Carreres,39.465,-0.365,380,30,32,15,54,0.36,D,439,0.66,2.8,22,108.6,156,0.21,1,11,3.2,SI,ALTO,UPV,JOVEN_PROFESIONAL
2023,3,2023-03-01,La Saïdia,La Saïdia,39.478,-0.375,381,31,32,20,93,0.27,C,218,0.67,3.6,31,108.9,342,0.09,1,17,4.3,SI,ALTO,UV,ERASMUS
2023,3,2023-03-01,Benicalap,Benicalap,39.49,-0.38,334,-16,22,14,69,0.13,A,187,0.81,4.4,34,95.4,261,0.08,0,11,4.5,SI,MEDIO,UV,ESTUDIANTE
2023,3,2023-03-01,Orriols,La Saïdia,39.485,-0.368,316,-34,23,13,49,0.42,A,277,0.37,4.9,45,90.3,170,0.14,0,10,3.6,SI,BAJO,UV,JOVEN_PROFESIONAL
2023,3,2023-03-01,Torrefiel,La Saïdia,39.487,-0.362,283,-67,54,15,180,0.42,A,296,0.47,4,31,80.9,472,0.11,4,8,4.7,SI,BAJO,UV,JOVEN_PROFESIONAL
2023,3,2023-03-01,Ciutat Universitaria,Algirós,39.482,-0.345,380,30,22,14,46,0.16,D,372,0.8,2.1,18,108.6,149,0.15,0,12,3.5,SI,ALTO,UPV,ESTUDIANTE
2023,3,2023-03-01,Arrancapins,Patraix,39.458,-0.375,352,2,28,13,51,0.25,C,249,0.5,1.6,18,100.6,189,0.15,1,9,3.3,SI,MEDIO,UV,ERASMUS
2023,4,2023-04-01,Ruzafa,Quatre Carreres,39.4635,-0.3765,447,97,39,13,135,0.24,B,209,0.53,1.6,18,127.7,487,0.08,2,7,4.8,NO,CRITICO,UV,ERASMUS
2023,4,2023-04-01,Benimaclet,Benimaclet,39.4815,-0.357,381,31,37,20,69,0.28,A,512,0.6,4.2,41,108.9,182,0.2,2,15,3.3,SI,ALTO,UPV,ERASMUS
2023,4,2023-04-01,El Carmen,Ciutat Vella,39.4735,-0.3775,425,75,32,11,57,0.4,D,244,0.43,1,10,121.4,180,0.18,1,6,3.3,NO,CRITICO,UV,JOVEN_PROFESIONAL
2023,4,2023-04-01,Campanar,Campanar,39.451,-0.339,377,27,23,7,67,0.31,C,114,0.43,2.7,20,107.7,267,0.09,0,4,4.3,SI,ALTO,UPV,ERASMUS
2023,4,2023-04-01,Patraix,Patraix,39.4605,-0.3605,344,-6,33,12,89,0.32,C,318,0.84,4.1,31,98.3,344,0.1,2,7,4.1,SI,MEDIO,UPV,ERASMUS
2023,4,2023-04-01,Algirós,Algirós,39.478,-0.3395,347,-3,52,14,149,0.17,C,273,0.44,2.1,22,99.1,480,0.11,4,7,4.2,SI,MEDIO,UPV,ESTUDIANTE
2023,4,2023-04-01,Extramurs,Extramurs,39.469,-0.382,401,51,36,16,89,0.16,A,169,0.67,2.3,18,114.6,269,0.13,2,11,3.9,NO,ALTO,UV,ESTUDIANTE
2023,4,2023-04-01,El Pla del Remei,Eixample,39.467,-0.373,467,117,28,9,84,0.31,A,221,0.62,1.6,14,133.4,272,0.1,1,5,4.4,NO,CRITICO,UV,ERASMUS
2023,4,2023-04-01,Mestalla,Quatre Carreres,39.465,-0.365,370,20,26,11,79,0.26,C,303,0.83,2.1,24,105.7,207,0.13,1,7,4.4,SI,ALTO,UPV,ERASMUS
2023,4,2023-04-01,La Saïdia,La Saïdia,39.478,-0.375,384,34,54,22,122,0.16,B,533,0.72,3.8,36,109.7,472,0.11,4,14,3.7,SI,ALTO,UV,ESTUDIANTE
2023,4,2023-04-01,Benicalap,Benicalap,39.49,-0.38,309,-41,32,8,70,0.24,A,174,0.71,4.8,42,88.3,206,0.16,1,4,3.6,SI,BAJO,UV,ERASMUS
2023,4,2023-04-01,Orriols,La Saïdia,39.485,-0.368,301,-49,27,11,52,0.21,B,223,0.73,4,29,86,157,0.17,1,7,3.4,SI,BAJO,UV,ESTUDIANTE
2023,4,2023-04-01,Torrefiel,La Saïdia,39.487,-0.362,302,-48,38,24,91,0.23,D,607,0.46,2.2,17,86.3,312,0.12,2,20,3.8,SI,BAJO,UV,ERASMUS
2023,4,2023-04-01,Ciutat Universitaria,Algirós,39.482,-0.345,381,31,22,11,47,0.18,D,261,0.58,1.9,24,108.9,159,0.14,0,8,3.6,SI,ALTO,UPV,ESTUDIANTE
2023,4,2023-04-01,Arrancapins,Patraix,39.458,-0.375,338,-12,38,13,78,0.23,D,170,0.81,3.3,33,96.6,255,0.15,2,7,3.5,SI,MEDIO,UV,ERASMUS
2023,5,2023-05-01,Ruzafa,Quatre Carreres,39.4635,-0.3765,421,71,33,14,96,0.13,C,371,0.72,2.7,28,120.3,281,0.12,1,9,4.3,NO,CRITICO,UV,ESTUDIANTE
2023,5,2023-05-01,Benimaclet,Benimaclet,39.4815,-0.357,408,58,25,13,76,0.32,C,260,0.41,3.2,31,116.6,297,0.08,1,10,4.4,NO,ALTO,UPV,ERASMUS
2023,5,2023-05-01,El Carmen,Ciutat Vella,39.4735,-0.3775,438,88,47,19,123,0.14,D,308,0.68,4,34,125.1,484,0.1,3,12,4,NO,CRITICO,UV,ESTUDIANTE
2023,5,2023-05-01,Campanar,Campanar,39.451,-0.339,336,-14,27,8,43,0.14,A,101,0.73,4.4,35,96,116,0.23,1,4,3.1,SI,MEDIO,UPV,ESTUDIANTE
2023,5,2023-05-01,Patraix,Patraix,39.4605,-0.3605,328,-22,39,21,89,0.14,D,520,0.43,3.9,35,93.7,316,0.12,2,16,3.7,SI,MEDIO,UPV,ESTUDIANTE
2023,5,2023-05-01,Algirós,Algirós,39.478,-0.3395,323,-27,51,25,177,0.36,A,662,0.59,3.6,33,92.3,464,0.11,4,18,4.8,SI,MEDIO,UPV,JOVEN_PROFESIONAL
2023,5,2023-05-01,Extramurs,Extramurs,39.469,-0.382,419,69,53,19,141,0.45,D,293,0.79,3.5,26,119.7,561,0.09,4,11,4.1,NO,ALTO,UV,JOVEN_PROFESIONAL
2023,5,2023-05-01,El Pla del Remei,Eixample,39.467,-0.373,461,111,25,11,70,0.42,A,232,0.74,3.5,32,131.7,231,0.11,1,8,4.2,NO,CRITICO,UV,JOVEN_PROFESIONAL
2023,5,2023-05-01,Mestalla,Quatre Carreres,39.465,-0.365,376,26,54,20,171,0.21,A,368,0.49,2.2,26,107.4,530,0.1,4,12,4.5,SI,ALTO,UPV,ESTUDIANTE
2023,5,2023-05-01,La Saïdia,La Saïdia,39.478,-0.375,364,14,46,20,151,0.12,C,574,0.37,3.1,32,104,513,0.09,3,13,4.6,SI,MEDIO,UV,ESTUDIANTE
2023,5,2023-05-01,Benicalap,Benicalap,39.49,-0.38,308,-42,24,7,66,0.3,D,179,0.55,4.5,39,88,209,0.11,1,4,4.1,SI,BAJO,UV,ERASMUS
2023,5,2023-05-01,Orriols,La Saïdia,39.485,-0.368,299,-51,26,7,67,0.42,D,86,0.52,4,30,85.4,214,0.12,1,4,4,SI,BAJO,UV,JOVEN_PROFESIONAL
2023,5,2023-05-01,Torrefiel,La Saïdia,39.487,-0.362,270,-80,35,13,115,0.25,C,380,0.72,1.5,13,77.1,288,0.12,2,8,4.6,SI,BAJO,UV,ERASMUS
2023,5,2023-05-01,Ciutat Universitaria,Algirós,39.482,-0.345,379,29,48,17,165,0.16,D,211,0.7,1.3,14,108.3,593,0.08,3,10,4.7,SI,ALTO,UPV,ESTUDIANTE
2023,5,2023-05-01,Arrancapins,Patraix,39.458,-0.375,323,-27,24,11,53,0.28,C,243,0.36,4.7,44,92.3,159,0.15,0,7,3.6,SI,MEDIO,UV,ERASMUS
2023,6,2023-06-01,Ruzafa,Quatre Carreres,39.4635,-0.3765,409,59,49,28,148,0.17,A,715,0.39,2.7,24,116.9,422,0.12,3,22,4.4,NO,ALTO,UV,ESTUDIANTE
2023,6,2023-06-01,Benimaclet,Benimaclet,39.4815,-0.357,393,43,53,17,155,0.21,C,356,0.52,3.4,30,112.3,578,0.09,4,9,4.3,SI,ALTO,UPV,ESTUDIANTE
2023,6,2023-06-01,El Carmen,Ciutat Vella,39.4735,-0.3775,429,79,31,8,92,0.3,D,129,0.52,4.7,44,122.6,365,0.08,1,4,4.3,NO,CRITICO,UV,ERASMUS
2023,6,2023-06-01,Campanar,Campanar,39.451,-0.339,331,-19,37,18,62,0.43,C,414,0.35,4.7,44,94.6,180,0.21,2,13,3.2,SI,MEDIO,UPV,JOVEN_PROFESIONAL
2023,6,2023-06-01,Patraix,Patraix,39.4605,-0.3605,293,-57,28,14,78,0.32,B,394,0.7,2.2,26,83.7,205,0.14,1,10,4.1,SI,BAJO,UPV,ERASMUS
2023,6,2023-06-01,Algirós,Algirós,39.478,-0.3395,331,-19,30,19,66,0.11,C,492,0.37,3.8,35,94.6,218,0.14,1,16,3.6,SI,MEDIO,UPV,ESTUDIANTE
2023,6,2023-06-01,Extramurs,Extramurs,39.469,-0.382,385,35,29,12,65,0.43,A,277,0.41,2.2,26,110,200,0.14,1,8,3.7,SI,ALTO,UV,JOVEN_PROFESIONAL
2023,6,2023-06-01,El Pla del Remei,Eixample,39.467,-0.373,457,107,46,13,141,0.43,D,137,0.59,2.5,21,130.6,497,0.09,3,7,4.4,NO,CRITICO,UV,JOVEN_PROFESIONAL
2023,6,2023-06-01,Mestalla,Quatre Carreres,39.465,-0.365,381,31,43,21,121,0.14,C,316,0.49,3.4,32,108.9,441,0.1,3,15,4.2,SI,ALTO,UPV,ESTUDIANTE
2023,6,2023-06-01,La Saïdia,La Saïdia,39.478,-0.375,355,5,29,17,67,0.43,C,199,0.74,4.3,32,101.4,230,0.13,1,13,3.7,SI,MEDIO,UV,JOVEN_PROFESIONAL
2023,6,2023-06-01,Benicalap,Benicalap,39.49,-0.38,305,-45,48,29,152,0.17,C,766,0.53,4.9,43,87.1,520,0.09,3,24,4.5,SI,BAJO,UV,ESTUDIANTE
2023,6,2023-06-01,Orriols,La Saïdia,39.485,-0.368,275,-75,38,18,67,0.13,D,507,0.59,3.4,24,78.6,181,0.21,2,13,3.2,SI,BAJO,UV,ESTUDIANTE
2023,6,2023-06-01,Torrefiel,La Saïdia,39.487,-0.362,278,-72,42,15,89,0.14,D,388,0.48,3.5,31,79.4,284,0.15,2,9,3.6,SI,BAJO,UV,ESTUDIANTE
2023,6,2023-06-01,Ciutat Universitaria,Algirós,39.482,-0.345,363,13,45,17,105,0.33,A,437,0.6,3.6,36,103.7,354,0.13,3,10,3.8,SI,MEDIO,UPV,JOVEN_PROFESIONAL
2023,6,2023-06-01,Arrancapins,Patraix,39.458,-0.375,307,-43,21,11,41,0.19,B,122,0.36,1.3,20,87.7,113,0.19,0,8,3.4,SI,BAJO,UV,ESTUDIANTE
2023,7,2023-07-01,Ruzafa,Quatre Carreres,39.4635,-0.3765,401,51,47,28,86,0.3,A,421,0.43,1.1,18,114.6,250,0.19,3,23,3.3,NO,ALTO,UV,ERASMUS
2023,7,2023-07-01,Benimaclet,Benimaclet,39.4815,-0.357,387,37,42,21,119,0.19,C,342,0.41,1.9,21,110.6,464,0.09,3,15,4.2,SI,ALTO,UPV,ESTUDIANTE
2023,7,2023-07-01,El Carmen,Ciutat Vella,39.4735,-0.3775,405,55,53,18,135,0.38,B,367,0.51,4.6,41,115.7,463,0.11,4,10,4,NO,ALTO,UV,JOVEN_PROFESIONAL
2023,7,2023-07-01,Campanar,Campanar,39.451,-0.339,337,-13,49,17,168,0.15,C,485,0.77,2.5,18,96.3,587,0.08,3,10,4.7,SI,MEDIO,UPV,ESTUDIANTE
2023,7,2023-07-01,Patraix,Patraix,39.4605,-0.3605,314,-36,48,21,93,0.25,A,300,0.7,3.2,30,89.7,350,0.14,3,14,3.4,SI,BAJO,UPV,ERASMUS
2023,7,2023-07-01,Algirós,Algirós,39.478,-0.3395,314,-36,45,21,134,0.16,A,530,0.64,3.9,35,89.7,407,0.11,3,14,4.3,SI,BAJO,UPV,ESTUDIANTE
2023,7,2023-07-01,Extramurs,Extramurs,39.469,-0.382,394,44,48,17,134,0.27,B,422,0.79,4.7,36,112.6,504,0.1,3,10,4.2,SI,ALTO,UV,ERASMUS
2023,7,2023-07-01,El Pla del Remei,Eixample,39.467,-0.373,438,88,40,21,116,0.35,A,575,0.58,1.5,15,125.1,370,0.11,2,16,4.3,NO,CRITICO,UV,JOVEN_PROFESIONAL
2023,7,2023-07-01,Mestalla,Quatre Carreres,39.465,-0.365,351,1,34,11,81,0.13,D,290,0.64,2.6,25,100.3,235,0.14,2,6,3.8,SI,MEDIO,UPV,ESTUDIANTE
2023,7,2023-07-01,La Saïdia,La Saïdia,39.478,-0.375,344,-6,42,20,123,0.21,D,584,0.83,3.6,28,98.3,416,0.1,3,14,4.3,SI,MEDIO,UV,ESTUDIANTE
2023,7,2023-07-01,Benicalap,Benicalap,39.49,-0.38,272,-78,38,24,87,0.4,C,702,0.65,2.4,29,77.7,223,0.17,2,20,3.7,SI,BAJO,UV,JOVEN_PROFESIONAL
2023,7,2023-07-01,Orriols,La Saïdia,39.485,-0.368,274,-76,52,28,154,0.17,D,547,0.35,4.3,31,78.3,467,0.11,4,21,4.3,SI,BAJO,UV,ESTUDIANTE
2023,7,2023-07-01,Torrefiel,La Saïdia,39.487,-0.362,285,-65,45,21,94,0.22,B,246,0.37,1.7,17,81.4,359,0.13,3,14,3.5,SI,BAJO,UV,ERASMUS
2023,7,2023-07-01,Ciutat Universitaria,Algirós,39.482,-0.345,338,-12,24,10,39,0.43,D,233,0.44,3.3,33,96.6,109,0.22,0,7,3.1,SI,MEDIO,UPV,JOVEN_PROFESIONAL
2023,7,2023-07-01,Arrancapins,Patraix,39.458,-0.375,326,-24,30,18,94,0.18,A,328,0.58,2.4,22,93.1,363,0.08,1,14,4.5,SI,MEDIO,UV,ESTUDIANTE
2023,8,2023-08-01,Ruzafa,Quatre Carreres,39.4635,-0.3765,409,59,51,27,176,0.34,D,481,0.76,1.2,12,116.9,611,0.08,4,20,4.8,NO,ALTO,UV,JOVEN_PROFESIONAL
2023,8,2023-08-01,Benimaclet,Benimaclet,39.4815,-0.357,373,23,42,12,111,0.31,A,269,0.67,2.6,20,106.6,404,0.1,3,6,4,SI,ALTO,UPV,ERASMUS
2023,8,2023-08-01,El Carmen,Ciutat Vella,39.4735,-0.3775,375,25,52,33,112,0.28,A,727,0.4,3.1,26,107.1,291,0.18,4,28,3.6,SI,ALTO,UV,ERASMUS
2023,8,2023-08-01,Campanar,Campanar,39.451,-0.339,330,-20,23,14,70,0.41,C,398,0.81,1.4,15,94.3,246,0.09,0,12,4.4,SI,MEDIO,UPV,JOVEN_PROFESIONAL
2023,8,2023-08-01,Patraix,Patraix,39.4605,-0.3605,310,-40,24,12,54,0.4,B,232,0.56,3.3,23,88.6,211,0.11,1,9,3.7,SI,BAJO,UPV,JOVEN_PROFESIONAL
2023,8,2023-08-01,Algirós,Algirós,39.478,-0.3395,316,-34,22,7,67,0.29,B,193,0.5,1.8,15,90.3,225,0.1,0,4,4.4,SI,BAJO,UPV,ERASMUS
2023,8,2023-08-01,Extramurs,Extramurs,39.469,-0.382,374,24,22,7,37,0.36,D,154,0.55,3.1,28,106.9,123,0.18,0,4,3.2,SI,ALTO,UV,JOVEN_PROFESIONAL
2023,8,2023-08-01,El Pla del Remei,Eixample,39.467,-0.373,438,88,29,9,95,0.22,A,255,0.55,2.4,27,125.1,328,0.09,1,5,4.6,NO,CRITICO,UV,ERASMUS
2023,8,2023-08-01,Mestalla,Quatre Carreres,39.465,-0.365,357,7,39,21,79,0.37,C,331,0.72,1.1,17,102,271,0.14,2,16,3.5,SI,MEDIO,UPV,JOVEN_PROFESIONAL
2023,8,2023-08-01,La Saïdia,La Saïdia,39.478,-0.375,351,1,39,24,70,0.26,A,593,0.5,3.6,26,100.3,276,0.14,2,20,3.3,SI,MEDIO,UV,ERASMUS
2023,8,2023-08-01,Benicalap,Benicalap,39.49,-0.38,299,-51,35,22,119,0.41,A,478,0.62,4.8,35,85.4,461,0.08,2,18,4.7,SI,BAJO,UV,JOVEN_PROFESIONAL
2023,8,2023-08-01,Orriols,La Saïdia,39.485,-0.368,254,-96,34,13,109,0.26,C,250,0.75,4.5,41,72.6,277,0.12,2,8,4.5,SI,BAJO,UV,ERASMUS
2023,8,2023-08-01,Torrefiel,La Saïdia,39.487,-0.362,275,-75,53,30,173,0.37,D,781,0.84,1.1,13,78.6,645,0.08,4,23,4.6,SI,BAJO,UV,JOVEN_PROFESIONAL
2023,8,2023-08-01,Ciutat Universitaria,Algirós,39.482,-0.345,359,9,24,15,59,0.37,A,181,0.55,1.7,15,102.6,227,0.11,0,12,3.9,SI,MEDIO,UPV,JOVEN_PROFESIONAL
2023,8,2023-08-01,Arrancapins,Patraix,39.458,-0.375,295,-55,49,15,80,0.16,D,236,0.37,3.1,23,84.3,238,0.21,3,8,3.1,SI,BAJO,UV,ESTUDIANTE
2023,9,2023-09-01,Ruzafa,Quatre Carreres,39.4635,-0.3765,386,36,47,21,105,0.44,B,394,0.8,2.7,20,110.3,286,0.16,3,14,3.7,SI,ALTO,UV,JOVEN_PROFESIONAL
2023,9,2023-09-01,Benimaclet,Benimaclet,39.4815,-0.357,380,30,54,23,153,0.4,C,589,0.43,4,28,108.6,612,0.09,4,15,4.2,SI,ALTO,UPV,JOVEN_PROFESIONAL
2023,9,2023-09-01,El Carmen,Ciutat Vella,39.4735,-0.3775,394,44,48,14,88,0.31,A,418,0.61,4.4,38,112.6,298,0.16,3,7,3.3,SI,ALTO,UV,ERASMUS
2023,9,2023-09-01,Campanar,Campanar,39.451,-0.339,329,-21,50,19,140,0.24,D,395,0.71,1.2,10,94,504,0.1,3,12,4.2,SI,MEDIO,UPV,ERASMUS
2023,9,2023-09-01,Patraix,Patraix,39.4605,-0.3605,294,-56,41,16,123,0.24,A,287,0.45,2.9,29,84,419,0.1,2,10,4.4,SI,BAJO,UPV,ERASMUS
2023,9,2023-09-01,Algirós,Algirós,39.478,-0.3395,320,-30,34,12,109,0.4,C,134,0.83,4,36,91.4,396,0.09,2,7,4.5,SI,MEDIO,UPV,JOVEN_PROFESIONAL
2023,9,2023-09-01,Extramurs,Extramurs,39.469,-0.382,374,24,38,24,84,0.27,D,593,0.75,3.1,25,106.9,285,0.13,2,20,3.6,SI,ALTO,UV,ERASMUS
2023,9,2023-09-01,El Pla del Remei,Eixample,39.467,-0.373,422,72,37,21,118,0.11,B,241,0.83,2.3,17,120.6,349,0.11,2,16,4.5,NO,CRITICO,UV,ESTUDIANTE
2023,9,2023-09-01,Mestalla,Quatre Carreres,39.465,-0.365,338,-12,46,29,158,0.16,A,579,0.44,1.2,17,96.6,441,0.1,3,24,4.7,SI,MEDIO,UPV,ESTUDIANTE
2023,9,2023-09-01,La Saïdia,La Saïdia,39.478,-0.375,314,-36,28,10,76,0.19,D,284,0.51,1.1,13,89.7,200,0.14,1,6,4.1,SI,BAJO,UV,ESTUDIANTE
